arxiv_id,title,published
2508.12257,Structuring the Unstructured: A Systematic Review of Text-to-Structure Generation for Agentic AI with a Universal Evaluation Framework,2025-08-17
2508.11828,A Survey of Idiom Datasets for Psycholinguistic and Computational Research,2025-08-15
2508.11414,Survey-to-Behavior: Downstream Alignment of Human Values in LLMs via Survey Questions,2025-08-15
2508.10875,A Survey on Diffusion Language Models,2025-08-14
2508.10824,Memory-Augmented Transformers: A Systematic Review from Neuroscience Principles to Enhanced Model Architectures,2025-08-14
2508.10955,Empowering Multimodal LLMs with External Tools: A Comprehensive Survey,2025-08-14
2508.15804,ReportBench: Evaluating Deep Research Agents via Academic Survey Tasks,2025-08-14
2508.09878,A Survey of Cognitive Distortion Detection and Classification in NLP,2025-08-13
2508.09834,Speed Always Wins: A Survey on Efficient Architectures for Large Language Models,2025-08-13
2508.09516,"Cross-lingual Aspect-Based Sentiment Analysis: A Survey on Tasks, Approaches, and Challenges",2025-08-13
2508.09016,A Survey on Training-free Alignment of Large Language Models,2025-08-12
2508.08712,A Survey on Parallel Text Generation: From Parallel Decoding to Diffusion Language Models,2025-08-12
2508.08610,Optimizing Retrieval-Augmented Generation (RAG) for Colloquial Cantonese: A LoRA-Based Systematic Review,2025-08-12
2508.07959,Large Language Models for Subjective Language Understanding: A Survey,2025-08-11
2508.07407,A Comprehensive Survey of Self-Evolving AI Agents: A New Paradigm Bridging Foundation Models and Lifelong Agentic Systems,2025-08-10
2508.06401,"A Systematic Literature Review of Retrieval-Augmented Generation: Techniques, Metrics, and Challenges",2025-08-08
2508.04638,Can NLP Tackle Hate Speech in the Real World? Stakeholder-Informed Feedback and Survey on Counterspeech,2025-08-06
2508.04482,OS Agents: A Survey on MLLM-based Agents for General Computing Devices Use,2025-08-06
2508.04337,Modelling and Classifying the Components of a Literature Review,2025-08-06
2508.02279,Dialogue Systems Engineering: A Survey and Future Directions,2025-08-04
2508.05668,"A Survey of LLM-based Deep Search Agents: Paradigm, Optimization, Evaluation, and Challenges",2025-08-03
2508.00669,Medical Reasoning in the Era of LLMs: A Systematic Review of Enhancement Techniques and Applications,2025-08-01
2508.00534,Towards a unified framework for programming paradigms: A systematic review of classification formalisms and methodological foundations,2025-08-01
2508.00217,Tabular Data Understanding with LLMs: A Survey of Recent Advances and Challenges,2025-07-31
2508.00083,A Survey on Code Generation with LLM-based Agents,2025-07-31
2507.20858,"A survey of diversity quantification in natural language processing: The why, what, where and how",2025-07-28
2507.20783,On The Role of Pretrained Language Models in General-Purpose Text Embeddings: A Survey,2025-07-28
2507.20419,Survey of NLU Benchmarks Diagnosing Linguistic Phenomena: Why not Standardize Diagnostics Benchmarks?,2025-07-27
2507.18910,"A Systematic Review of Key Retrieval-Augmented Generation (RAG) Systems: Progress, Gaps, and Future Directions",2025-07-25
2507.22934,Deep Learning Approaches for Multimodal Intent Recognition: A Survey,2025-07-24
2507.22933,Augmented Vision-Language Models: A Systematic Review,2025-07-24
2507.18451,Generation of Synthetic Clinical Text: A Systematic Review,2025-07-24
2507.17718,AI Telephone Surveying: Automating Quantitative Data Collection with an AI Interviewer,2025-07-23
2507.22920,Discrete Tokenization for Multimodal LLMs: A Comprehensive Survey,2025-07-21
2507.19521,Intent-Aware Schema Generation And Refinement For Literature Review Tables,2025-07-18
2507.12126,Iterative Augmentation with Summarization Refinement (IASR) Evaluation for Unstructured Survey data Modeling and Analysis,2025-07-16
2507.11936,A Survey of Deep Learning for Geometry Problem Solving,2025-07-16
2507.09662,Towards Concise and Adaptive Thinking in Large Reasoning Models: A Survey,2025-07-13
2507.09477,Towards Agentic RAG with Deep Reasoning: A Survey of RAG-Reasoning Systems in LLMs,2025-07-13
2507.08425,"A Survey of Large Language Models in Discipline-specific Research: Challenges, Methods and Opportunities",2025-07-11
2507.07741,Code-Switching in End-to-End Automatic Speech Recognition: A Systematic Literature Review,2025-07-10
2507.21108,A Survey of Classification Tasks and Approaches for Legal Contracts,2025-07-09
2507.06203,A Survey on Latent Reasoning,2025-07-08
2507.06085,A Survey on Prompt Tuning,2025-07-08
2507.04793,"A Survey of Pun Generation: Datasets, Evaluations and Methodologies",2025-07-07
2507.04469,The role of large language models in UI/UX design: A systematic literature review,2025-07-06
2507.05288,A Survey on Proactive Defense Strategies Against Misinformation in Large Language Models,2025-07-05
2507.01903,AI4Research: A Survey of Artificial Intelligence for Scientific Research,2025-07-02
2507.12472,A Survey of AIOps in the Era of Large Language Models,2025-06-23
2506.18199,Prompt Engineering Techniques for Mitigating Cultural Bias Against Arabs and Muslims in Large Language Models: A Systematic Review,2025-06-22
2506.16383,Large Language Models in Argument Mining: A Survey,2025-06-19
2506.16190,Web(er) of Hate: A Survey on How Hate Speech Is Typed,2025-06-19
2506.15301,A Survey on LLM-Assisted Clinical Trial Recruitment,2025-06-18
2506.14602,Computational Studies in Influencer Marketing: A Systematic Literature Review,2025-06-17
2506.17294,From Multimodal Perception to Strategic Reasoning: A Survey on AI-Generated Game Commentary,2025-06-17
2506.13199,Do Music Preferences Reflect Cultural Values? A Cross-National Analysis Using Music Embedding and World Values Survey,2025-06-16
2506.10274,Discrete Audio Tokens: More Than a Survey!,2025-06-12
2506.08800,Measuring Data Science Automation: A Survey of Evaluation Tools for AI Assistants and Agents,2025-06-10
2506.08446,A Survey on Large Language Models for Mathematical Reasoning,2025-06-10
2506.08234,"Compound AI Systems Optimization: A Survey of Methods, Challenges, and Future Directions",2025-06-09
2506.07583,Beyond the Sentence: A Survey on Context-Aware Machine Translation with Large Language Models,2025-06-09
2506.07506,What Do Indonesians Really Need from Language Technology? A Nationwide Survey,2025-06-09
2506.06708,A Survey of Retentive Network,2025-06-07
2506.06540,Large Language Models Can Be a Viable Substitute for Expert Political Surveys When a Shock Disrupts Traditional Measurement Approaches,2025-06-06
2506.11102,Evolutionary Perspectives on the Evaluation of LLM-Based AI Agents: A Comprehensive Survey,2025-06-06
2506.10019,"A Survey of Automatic Evaluation Methods on Text, Visual and Speech Generations",2025-06-06
2507.02870,Loki's Dance of Illusions: A Comprehensive Survey of Hallucination in Large Language Models,2025-06-06
2506.05451,Interpretation Meets Safety: A Survey on Interpretation Methods and Tools for Improving LLM Safety,2025-06-05
2506.04788,Towards LLM-Centric Multimodal Fusion: A Survey on Integration Strategies and Techniques,2025-06-05
2506.04611,Revisiting Test-Time Scaling: A Survey and a Diversity-Aware Method for Efficient Reasoning,2025-06-05
2506.04565,From Standalone LLMs to Integrated Intelligence: A Survey of Compound Al Systems,2025-06-05
2506.04461,Behavioural vs. Representational Systematicity in End-to-End Models: An Opinionated Survey,2025-06-04
2506.03659,Trustworthy Medical Question Answering: An Evaluation-Centric Survey,2025-06-04
2506.03408,Trajectory Prediction Meets Large Language Models: A Survey,2025-06-03
2506.02533,Machine Learning for Enhancing Deliberation in Online Political Discussions and Participatory Processes: A Survey,2025-06-03
2506.01257,"DeepSeek in Healthcare: A Survey of Capabilities, Risks, and Clinical Applications of Open-Source Large Language Models",2025-06-02
2505.24757,LGAR: Zero-Shot LLM-Guided Neural Ranking for Abstract Screening in Systematic Literature Reviews,2025-05-30
2505.24377,LLM Inference Enhanced by External Knowledge: A Survey,2025-05-30
2506.10016,A Survey of Generative Categories and Techniques in Multimodal Generative Models,2025-05-29
2505.22787,Can Large Language Models Match the Conclusions of Systematic Reviews?,2025-05-28
2505.22327,"NLP for Social Good: A Survey and Outlook of Challenges, Opportunities, and Responsible Deployment",2025-05-28
2505.21935,From Reasoning to Learning: A Survey on Hypothesis Discovery and Rule Learning with Large Language Models,2025-05-28
2505.21907,Modeling and Optimizing User Preferences in AI Copilots: A Comprehensive Survey and Taxonomy,2025-05-28
2505.21598,Rethinking Data Mixture for Large Language Models: A Comprehensive Survey and New Perspectives,2025-05-27
2505.21116,Creativity in LLM-based Multi-Agent Systems: A Survey,2025-05-27
2505.20511,"Multimodal Emotion Recognition in Conversations: A Survey of Methods, Trends, Challenges and Prospects",2025-05-26
2505.20503,Embodied AI with Foundation Models for Mobile Service Robots: A Systematic Review,2025-05-26
2505.20243,It's High Time: A Survey of Temporal Question Answering,2025-05-26
2505.19806,"Exploring Consciousness in LLMs: A Systematic Survey of Theories, Implementations, and Frontier Risks",2025-05-26
2505.19683,Large Language Models for Planning: A Comprehensive and Systematic Survey,2025-05-26
2505.19240,LLLMs: A Data-Driven Survey of Evolving Research on Limitations of Large Language Models,2025-05-25
2505.18845,Multi-Party Conversational Agents: A Survey,2025-05-24
2505.18458,A Survey of LLM $\times$ DATA,2025-05-24
2505.17642,A Survey on Stereotype Detection in Natural Language Processing,2025-05-23
2505.16782,Reasoning Beyond Language: A Comprehensive Survey on Latent Chain-of-Thought Reasoning,2025-05-22
2505.16408,From Surveys to Narratives: Rethinking Cultural Value Adaptation in LLMs,2025-05-22
2505.16094,A Survey of Large Language Models for Text-Guided Molecular Discovery: from Molecule Generation to Optimization,2025-05-22
2505.15957,Towards Holistic Evaluation of Large Audio-Language Models: A Comprehensive Survey,2025-05-21
