key,year,title,url
wang-etal-2025-role,2025,"On the Role of Entity and Event Level Conceptualization in Generalizable Reasoning: A Survey of Tasks, Methods, Applications, and Future Directions",https://aclanthology.org/2025.findings-emnlp.122/
wang-etal-2025-safety,2025,Safety in Large Reasoning Models: A Survey,https://aclanthology.org/2025.findings-emnlp.185/
pan-etal-2025-survey,2025,A Survey on Training-free Alignment of Large Language Models,https://aclanthology.org/2025.findings-emnlp.238/
wu-etal-2025-multimodal,2025,"Multimodal Emotion Recognition in Conversations: A Survey of Methods, Trends, Challenges and Prospects",https://aclanthology.org/2025.findings-emnlp.332/
aljohani-etal-2025-comprehensive,2025,A Comprehensive Survey on the Trustworthiness of Large Language Models in Healthcare,https://aclanthology.org/2025.findings-emnlp.356/
su-etal-2025-survey,2025,"A Survey of Pun Generation: Datasets, Evaluations and Methodologies",https://aclanthology.org/2025.findings-emnlp.389/
ti-etal-2025-towards,2025,Towards Reverse Engineering of Language Models: A Survey,https://aclanthology.org/2025.findings-emnlp.395/
ghosh-etal-2025-survey,2025,A Survey of Multilingual Reasoning in Language Models,https://aclanthology.org/2025.findings-emnlp.474/
brito-etal-2025-modeling,2025,"Modeling, Evaluating, and Embodying Personality in {LLM}s: A Survey",https://aclanthology.org/2025.findings-emnlp.506/
peng-etal-2025-survey,2025,A Survey on {LLM}-powered Agents for Recommender Systems,https://aclanthology.org/2025.findings-emnlp.620/
zhou-etal-2025-hypothesis,2025,From Hypothesis to Publication: A Comprehensive Survey of {AI}-Driven Research Support Systems,https://aclanthology.org/2025.findings-emnlp.631/
li-etal-2025-survey,2025,A Survey of {RAG}-Reasoning Systems in Large Language Models,https://aclanthology.org/2025.findings-emnlp.648/
wu-etal-2025-multi,2025,"Multi-Agent Autonomous Driving Systems with Large Language Models: A Survey of Recent Advances, Resources, and Future Directions",https://aclanthology.org/2025.findings-emnlp.683/
hu-etal-2025-mitigating,2025,Mitigating Sequential Dependencies: A Survey of Algorithms and Systems for Generation-Refinement Frameworks in Autoregressive Models,https://aclanthology.org/2025.findings-emnlp.716/
teleki-etal-2025-survey,2025,A Survey on {LLM}s for Story Generation,https://aclanthology.org/2025.findings-emnlp.750/
sage-etal-2025-survey,2025,A Survey of Cognitive Distortion Detection and Classification in {NLP},https://aclanthology.org/2025.findings-emnlp.804/
zhu-etal-2025-survey,2025,A Survey on Multi-modal Intent Recognition: Recent Advances and New Frontiers,https://aclanthology.org/2025.findings-emnlp.823/
wu-2025-comprehensive,2025,A Comprehensive Survey on Learning from Rewards for Large Language Models: Reward Models and Learning Strategies,https://aclanthology.org/2025.findings-emnlp.970/
dong-etal-2025-large,2025,"Large Language Model Agents in Finance: A Survey Bridging Research, Practice, and Real-World Deployment",https://aclanthology.org/2025.findings-emnlp.972/
zerong-etal-2025-systematic,2025,"A Systematic Survey of Claim Verification: Corpora, Systems, and Case Studies",https://aclanthology.org/2025.findings-emnlp.1170/
xiao-etal-2025-protein,2025,Protein Large Language Models: A Comprehensive Survey,https://aclanthology.org/2025.findings-emnlp.1255/
padmakumar-etal-2025-intent,2025,Intent-aware Schema Generation and Refinement for Literature Review Tables,https://aclanthology.org/2025.findings-emnlp.1274/
song-etal-2025-injecting,2025,Injecting Domain-Specific Knowledge into Large Language Models: A Comprehensive Survey,https://aclanthology.org/2025.findings-emnlp.1379/
wang-etal-2025-large-language,2025,Large Language Models in Bioinformatics: A Survey,https://aclanthology.org/2025.findings-acl.184/
guan-etal-2025-survey,2025,A Survey on Personalized {A}lignment{---}{T}he Missing Piece for Large Language Models in Real-World Applications,https://aclanthology.org/2025.findings-acl.277/
zhu-etal-2025-trust,2025,Can We Trust {AI} Doctors? A Survey of Medical Hallucination in Large Language and Large Vision-Language Models,https://aclanthology.org/2025.findings-acl.350/
na-etal-2025-survey,2025,A Survey of Large Language Models in Psychotherapy: Current Landscape and Future Directions,https://aclanthology.org/2025.findings-acl.385/
he-etal-2025-breaking,2025,Breaking the Reasoning Barrier A Survey on {LLM} Complex Reasoning through the Lens of Self-Evolution,https://aclanthology.org/2025.findings-acl.386/
jiang-etal-2025-specific,2025,From Specific-{MLLM}s to Omni-{MLLM}s: A Survey on {MLLM}s Aligned with Multi-modalities,https://aclanthology.org/2025.findings-acl.453/
wang-etal-2025-survey,2025,A Survey of {LLM}-based Agents in Medicine: How far are we from Baymax?,https://aclanthology.org/2025.findings-acl.539/
